datetime,ABBV,ACRS,ADMP,ADMS,AEZS,AGEN,AGIO,AGN,DERM,DOVA,DRRX,ENTA,EXEL,NEOS,NVO,NVS,ONCE,OPK,VRTX,XENT,cash,commission,total,returns,equity_curve,drawdown
2018-01-19,74745.3177,50556.799999999996,0.0,95780.51999999999,42221.03999999999,46595.89,56680.79,43669.4571,0.0,0.0,0.0,87650.63999999998,49952.0,0.0,55463.3352,0.0,53515.439999999995,0.0,0.0,54208.95,413243.62949999986,637.049,1124283.8095,0.00927346181151334,1.124283809500001,-0.0
2018-01-22,76066.776,51364.88,0.0,102301.31999999999,44443.2,47886.96,63541.85,45311.894100000005,0.0,0.0,0.0,92064.42,52520.96,0.0,55616.8746,0.0,59873.4,0.0,0.0,54915.0,413243.62949999986,637.049,1159151.1641999995,0.031012947447411898,1.1591511642000005,-0.0
2018-01-23,75273.9156,51945.04,0.0,106966.2,44443.2,47886.96,64231.200000000004,45290.2185,0.0,0.0,0.0,93223.2,54233.6,0.0,55607.2419,0.0,59038.2,0.0,0.0,54993.45,413243.62949999986,637.049,1166376.0554999998,0.0062329155360738575,1.166376055500001,-0.0
2018-01-24,75366.7173,51054.08,0.0,101849.88,43517.3,46830.630000000005,61936.07000000001,44967.5145,0.0,0.0,0.0,93965.34,54376.32,0.0,55405.7336,0.0,57795.84,0.0,0.0,55699.5,413243.62949999986,637.049,1156008.5548999999,-0.008888643204832958,1.156008554900001,-0.010367500599999913
2018-01-25,77359.6575,50991.92,0.0,102752.76,43146.94,44013.75,62455.11,45063.839700000004,0.0,0.0,0.0,96634.44,54340.64,0.0,55146.623700000004,0.0,59226.119999999995,0.0,0.0,56797.8,413243.62949999986,637.049,1161173.2303999998,0.00446767930748293,1.1611732304000009,-0.00520282510000003
2018-01-26,88010.05589999999,50826.16,0.0,104658.84,44258.020000000004,43896.380000000005,65463.92,45018.082800000004,0.0,0.0,0.0,101972.63999999998,54001.68,0.0,55799.2148,0.0,60437.16,0.0,0.0,57974.55,413243.62949999986,637.049,1185560.3329999999,0.021002122647625354,1.185560333000001,-0.0
2018-01-29,87367.1508,48919.92,0.0,99467.27999999998,43517.3,43896.380000000005,65115.19,45107.190899999994,0.0,0.0,0.0,109615.37999999999,55946.24,0.0,55213.7607,0.0,61992.72,0.0,0.0,57346.95,413243.62949999986,637.049,1186749.0918999999,0.001002697936925756,1.1867490919000012,-0.0
2018-01-30,82774.1592,46765.04,0.0,98464.08,41363.656599999995,42840.049999999996,65374.71,44403.9732,0.0,0.0,0.0,108860.22,54412.0,0.0,54397.9975,0.0,61596.0,0.0,0.0,57974.55,413243.62949999986,637.049,1172470.0659999999,-0.012032051254523446,1.1724700660000011,-0.014279025900000075
2018-01-31,80159.7465,45832.64,0.0,94902.72000000002,39998.880000000005,42370.57,63874.36,43411.755600000004,0.0,0.0,0.0,110604.90000000001,54073.04,0.0,53265.5228,0.0,58516.2,0.0,0.0,58602.15,413243.62949999986,637.049,1158856.1143999998,-0.011611342579043726,1.1588561144000011,-0.027892977500000082
2018-02-01,83102.7195,45770.48,0.0,96407.51999999999,40369.240000000005,42253.200000000004,64109.549999999996,42997.537800000006,0.0,0.0,0.0,112284.48,54697.44,0.0,49781.6963,0.0,58777.2,0.0,0.0,59151.3,413243.62949999986,637.049,1162945.9930999998,0.003529237710513833,1.1629459931000012,-0.023803098799999978
